name,code,pop
Israel,2,4.5
Italy,19,7.95
Japan,8,7.5
Latvia,3,8.0
Lithuania,5,8.84
Luxembourg,1,8.0
Macedonia,1,7.0
Malaysia,2,8.5
Mexico,5,7.9
Netherlands,10,7.98
New Zealand,6,7.62
Norway,4,7.5
Peru,1,7.0
Philippines,3,7.33
Poland,24,8.23
Portugal,7,8.41
Qatar,1,4.0
Romania,4,9.44
Russia,6,7.54
Republic of Serbia,2,7.25
Slovakia,1,9.5
South Africa,3,9.0
South Korea,13,7.51
Spain,35,7.54
Sweden,15,8.33
Switzerland,5,8.0
Taiwan,8,8.76
Thailand,1,4.0
Turkey,1,8.5
Ukraine,2,8.95
USA,540,7.92
Venezuela,1,5.0
Vietnam,1,9.0
Argentina,1,7.0
Australia,35,6.25
Austria,2,6.5
Belgium,7,6.0
Brazil,4,6.0
Canada,168,6.73
Chile,4,7.15
China,3,6.0
Colombia,3,6.0
Denmark,2,6.5
England,6,7.58
Finland,12,6.68
France,4,6.5
Germany,39,6.25
Greece,1,8.0
Guatemala,1,8.0
Hungary,1,6.5
India,2,6.5
Ireland,6,7.5
Israel,3,5.67
Italy,4,7.75
Japan,9,5.07
Malaysia,4,5.63
Mexico,1,6.5
Netherlands,6,7.5
New Zealand,7,7.07
Norway,3,7.0
Philippines,1,6.0
Poland,15,6.27
Russia,1,5.0
South Africa,1,5.0
South Korea,6,7.0
Spain,16,7.07
Sweden,12,6.83
Switzerland,2,7.5
Taiwan,3,8.0
USA,1518,6.47
Uruguay,1,7.0
Venezuela,1,9.0
Argentina,11,6.55
Australia,55,7.13
Austria,12,7.58
Belarus,1,9.0
Belgium,12,7.29
Bolivia,1,9.0
Brazil,27,8.24
Bulgaria,1,9.0
Canada,181,7.53
Chile,8,7.36
China,14,7.57
Colombia,1,8.0
Croatia,5,7.8
Czech Republic,12,6.38
Denmark,14,7.64
England,6,8.33
Estonia,5,8.3
Finland,31,7.41
France,18,7.54
Germany,104,7.7
Greece,23,8.05
Hungary,13,7.32
Iceland,2,8.0
Indonesia,2,7.6
Ireland,6,7.67
Israel,6,7.33
Italy,42,7.32
Japan,5,5.2
Lebanon,1,9.0
Lithuania,8,7.25
Luxembourg,1,8.2
Macedonia,2,8.0
Malaysia,6,6.3
Mexico,11,7.55
Moldova,1,8.0
Netherlands,16,7.85
New Zealand,7,6.76
Norway,14,6.36
Peru,2,7.0
Philippines,5,7.1
Poland,62,7.71
Portugal,5,7.82
Romania,3,8.9
Russia,16,7.19
Republic of Serbia,1,8.0
Slovenia,1,8.0
South Korea,18,6.42
Spain,115,7.72
Sweden,45,6.88
Switzerland,7,8.57
Taiwan,8,7.6
Thailand,2,6.0
Turkey,2,8.0
Ukraine,8,7.58
USA,1105,7.4
Venezuela,1,7.0
Vietnam,2,8.5
Argentina,1,7.5
Australia,26,6.6
Austria,1,10.0
Belgium,12,6.63
Brazil,9,6.83
Canada,187,6.85
Chile,1,8.0
China,3,7.27
Croatia,4,7.0
Czech Republic,1,9.0
Denmark,13,6.54
Fiji,1,8.0
Finland,8,6.56
France,3,5.33
Germany,45,6.68
Greece,9,7.0
Hungary,1,8.0
Iceland,2,7.0
India,1,4.0
Ireland,1,9.0
Israel,3,8.33
Italy,39,7.18
Latvia,1,6.0
Lithuania,1,8.0
Malaysia,3,6.53
Mexico,5,6.64
Netherlands,20,7.34
New Zealand,7,7.04
Norway,10,5.7
Peru,2,7.25
Portugal,4,6.75
Qatar,1,7.8
Romania,2,8.0
Russia,1,7.0
Slovenia,3,7.33
South Africa,1,3.0
South Korea,5,7.2
Spain,12,6.96
Sweden,25,6.02
Switzerland,3,8.0
Thailand,1,9.0
Turkey,1,7.0
Ukraine,1,4.0
USA,968,6.81
Venezuela,1,9.0
Argentina,7,8.43
Australia,39,8.18
Austria,6,8.6
Belarus,1,6.0
Belgium,24,7.88
Bolivia,1,10.0
Brazil,32,8.91
Bulgaria,1,5.0
Canada,94,8.29
Chile,8,8.44
China,12,8.27
Colombia,3,9.5
Croatia,3,9.33
Czech Republic,4,9.25
Denmark,3,7.67
England,10,7.95
Estonia,1,9.0
Finland,8,7.78
France,23,8.19
Germany,91,8.14
Greece,13,8.71
Guatemala,1,7.5
Hungary,10,8.36
Iceland,1,7.0
India,3,9.0
Indonesia,2,9.0
Iran,2,9.5
Ireland,5,8.8
Israel,4,7.13
Italy,31,8.1
Japan,17,7.91
Latvia,4,7.75
Lithuania,4,8.88
Malaysia,2,9.25
Mexico,18,9.15
Netherlands,25,7.89
New Zealand,8,7.63
Norway,8,7.96
Peru,3,8.67
Philippines,4,9.5
Poland,30,8.06
Portugal,12,8.52
Romania,6,8.81
Russia,5,9.2
Saudi Arabia,1,9.0
Republic of Serbia,2,7.75
Slovakia,1,8.0
Slovenia,3,9.33
South Africa,3,8.0
South Korea,6,6.73
Spain,64,8.3
Sri Lanka,1,8.0
Sweden,17,8.09
Switzerland,7,7.5
Taiwan,10,7.78
Thailand,5,7.3
Ukraine,3,9.37
USA,517,8.19
Uruguay,1,8.0
Venezuela,1,6.0
Vietnam,1,8.91
Argentina,3,9.17
Australia,35,6.54
Austria,3,9.0
Belgium,8,6.69
Brazil,18,7.22
Bulgaria,1,10.0
Canada,113,7.28
Chile,8,6.44
China,2,8.45
Colombia,1,7.0
Costa Rica,1,7.0
Czech Republic,1,6.5
Denmark,13,6.38
England,5,6.8
Estonia,4,7.75
Finland,17,6.75
France,11,7.1
Germany,61,6.82
Greece,26,7.17
Guatemala,1,7.0
Hungary,4,7.13
Iceland,1,8.5
India,1,7.0
Ireland,1,6.0
Israel,4,6.0
Italy,24,7.31
Japan,15,7.21
Latvia,3,6.67
Lithuania,3,6.67
Mexico,5,7.27
Netherlands,21,6.38
New Zealand,13,6.62
Norway,16,6.88
Peru,2,6.25
Poland,12,7.33
Portugal,8,7.37
Romania,5,6.7
Russia,3,6.0
Saudi Arabia,1,9.0
Republic of Serbia,2,8.0
Slovenia,3,5.67
South Africa,2,6.5
South Korea,4,5.75
Spain,32,7.61
Sweden,25,6.44
Switzerland,3,6.0
Taiwan,2,7.5
Turkey,1,6.0
USA,630,6.7
Venezuela,1,10.0
Vietnam,1,6.5
Argentina,11,6.95
Australia,49,6.55
Austria,8,6.75
Belarus,1,5.0
Belgium,28,7.38
Bolivia,1,4.0
Brazil,55,7.51
Brunei,1,7.0
Bulgaria,1,4.0
Canada,187,6.99
Chile,5,8.4
China,16,7.2
Colombia,2,7.75
Croatia,1,3.0
Czech Republic,21,7.56
Denmark,13,7.25
England,9,6.24
Estonia,4,6.25
Finland,29,6.89
France,24,6.4
Germany,66,6.77
Greece,44,7.35
Hungary,26,7.43
India,1,6.0
Indonesia,4,6.85
Ireland,3,7.0
Israel,4,7.75
Italy,85,7.47
Japan,8,5.38
Latvia,6,7.33
Lithuania,3,7.33
Luxembourg,2,6.6
Malaysia,7,6.47
Mexico,2,8.0
Netherlands,21,6.55
New Zealand,9,6.11
Norway,8,7.44
Peru,1,6.0
Philippines,3,6.0
Poland,43,7.05
Portugal,7,6.86
Romania,6,7.03
Russia,11,7.16
Republic of Serbia,4,7.25
Slovakia,4,8.63
South Africa,2,4.5
South Korea,29,7.57
Spain,157,7.2
Sweden,22,6.66
Switzerland,9,7.0
Taiwan,24,7.67
Thailand,7,6.34
Turkey,2,8.5
Ukraine,6,8.12
USA,1117,6.9
Venezuela,1,6.0
Vietnam,1,6.0
Argentina,3,6.92
Australia,34,7.56
Azerbaijan,1,10.0
Belgium,5,7.8
Bolivia,1,10.0
Brazil,20,7.91
Brunei,1,8.0
Canada,98,7.81
Chile,1,8.0
China,22,7.15
Colombia,5,7.94
Croatia,2,9.5
Czech Republic,1,7.5
Denmark,4,4.98
England,3,7.0
Estonia,2,8.5
Finland,13,8.31
France,1,9.0
Germany,12,6.38
Greece,9,7.83
Guatemala,1,6.5
Hungary,2,7.5
Iceland,1,8.0
India,5,8.6
Ireland,2,7.25
Israel,4,8.0
Italy,19,7.79
Japan,39,7.56
Latvia,2,8.25
Lithuania,2,6.0
Luxembourg,1,1.0
Malaysia,4,6.5
Mexico,3,8.33
Moldova,1,10.0
Netherlands,6,7.08
New Zealand,9,7.73
Norway,11,8.0
Peru,1,7.0
Philippines,2,6.5
Poland,10,7.0
Portugal,6,7.42
Romania,1,8.8
Russia,5,8.14
Slovenia,1,8.0
South Africa,1,8.0
South Korea,14,7.54
Spain,56,7.94
Sweden,15,7.6
Taiwan,17,7.92
Thailand,6,7.92
Turkey,2,8.5
Ukraine,1,9.0
USA,604,7.75
Uruguay,1,9.5
Venezuela,1,8.0
Vietnam,2,8.75
Argentina,6,7.83
Australia,57,7.79
Austria,7,8.64
Belarus,2,8.25
Belgium,11,8.91
Brazil,54,8.75
Canada,149,7.95
Chile,5,7.84
China,19,7.55
Colombia,4,7.38
Croatia,3,5.67
Czech Republic,5,7.2
Denmark,13,7.46
England,7,7.4
Estonia,5,8.48
Finland,31,8.2
France,21,7.8
Germany,97,7.88
Greece,16,8.37
Hungary,7,7.14
Iceland,1,8.0
India,2,8.75
Indonesia,3,7.83
Ireland,6,6.5
Israel,3,8.67
Italy,33,7.58
Japan,5,5.6
Latvia,4,8.38
Lithuania,5,9.16
Luxembourg,2,9.0
Malaysia,9,8.33
Mexico,1,8.5
Netherlands,12,7.87
New Zealand,10,7.53
Norway,8,8.11
Peru,4,8.38
Philippines,4,7.25
Poland,58,7.86
Portugal,5,9.2
Qatar,1,7.4
Romania,6,9.33
Russia,11,7.98
Republic of Serbia,6,8.5
Slovakia,1,10.0
Slovenia,4,9.75
South Africa,4,8.75
South Korea,6,7.33
Spain,98,7.76
Sweden,31,7.45
Switzerland,5,6.4
Taiwan,11,8.05
Thailand,5,7.3
Turkey,1,9.0
Ukraine,4,8.63
USA,906,7.84
Venezuela,1,8.0
Argentina,4,6.5
Australia,55,7.11
Austria,2,9.0
Belgium,7,7.5
Brazil,22,7.84
Bulgaria,6,7.58
Canada,144,7.38
Chile,2,6.0
China,16,7.01
Colombia,3,7.67
Costa Rica,1,8.0
Croatia,4,4.75
Czech Republic,2,7.0
Denmark,11,7.14
England,6,6.83
Estonia,2,7.0
Finland,14,7.14
France,3,7.17
Germany,37,7.03
Greece,23,7.89
Guatemala,1,8.5
Hungary,2,8.0
Iceland,2,8.0
Indonesia,2,9.0
Ireland,5,7.0
Israel,2,5.78
Italy,11,7.86
Japan,5,6.1
Latvia,3,7.33
Lebanon,1,9.0
Lithuania,2,6.5
Macedonia,3,8.67
Malaysia,5,7.78
Mexico,13,7.5
Netherlands,10,6.95
New Zealand,7,7.0
Norway,8,7.69
Peru,2,8.5
Philippines,4,7.13
Poland,4,7.38
Portugal,8,8.04
Romania,3,9.17
Russia,4,7.81
Saudi Arabia,1,7.5
Republic of Serbia,6,9.0
Slovenia,1,9.0
South Korea,8,7.25
Spain,21,6.89
Sweden,25,7.42
Switzerland,5,6.6
Taiwan,21,7.5
Thailand,2,7.75
Ukraine,1,7.0
USA,1188,7.34
Uruguay,1,9.0
Argentina,3,7.0
Australia,54,7.18
Austria,5,7.4
Belarus,1,9.0
Belgium,32,7.6
Brazil,12,8.37
Brunei,1,8.0
Canada,197,7.32
Chile,4,6.75
China,15,7.16
Colombia,1,10.0
Croatia,2,9.0
Czech Republic,7,6.36
Denmark,10,6.9
England,7,6.93
Estonia,1,7.0
Finland,32,7.21
France,18,7.87
Germany,78,7.58
Greece,17,7.83
Guatemala,1,9.0
Hungary,9,7.89
India,1,6.0
Indonesia,3,5.83
Ireland,2,7.5
Israel,7,6.7
Italy,16,7.2
Japan,34,7.34
Latvia,2,7.4
Luxembourg,1,8.0
Malaysia,9,7.01
Mexico,4,8.5
Moldova,1,10.0
Netherlands,26,7.24
New Zealand,11,6.98
Norway,13,7.77
Peru,2,7.0
Philippines,2,7.5
Poland,37,7.34
Portugal,9,7.41
Romania,2,8.5
Russia,10,7.58
Republic of Serbia,2,7.0
Slovakia,1,8.0
Slovenia,4,9.38
South Africa,3,5.33
South Korea,24,7.02
Spain,39,7.35
Sweden,27,6.85
Switzerland,4,6.93
Taiwan,18,8.04
Thailand,4,8.18
Ukraine,1,5.0
USA,1223,7.23
Argentina,11,7.82
Australia,78,7.4
Austria,15,7.87
Belarus,2,5.0
Belgium,62,7.48
Brazil,54,7.5
Brunei,1,8.0
Bulgaria,1,6.0
Canada,282,7.46
Chile,13,7.59
China,15,7.16
Colombia,6,8.12
Costa Rica,1,9.0
Croatia,4,7.08
Czech Republic,8,6.5
Denmark,18,7.54
England,12,7.48
Estonia,7,7.57
Finland,47,7.71
France,32,7.48
Germany,211,7.71
Greece,46,7.45
Hungary,24,7.43
Iceland,1,8.0
India,5,7.7
Indonesia,5,7.14
Ireland,8,7.85
Israel,11,7.01
Italy,65,7.27
Japan,41,7.72
Latvia,10,7.25
Lithuania,9,6.33
Luxembourg,2,6.5
Malaysia,8,7.41
Mexico,11,8.3
Netherlands,59,7.51
New Zealand,28,7.51
Norway,25,7.83
Peru,1,5.5
Philippines,4,6.75
Poland,103,7.73
Portugal,15,7.21
Romania,7,7.66
Russia,18,7.18
Saudi Arabia,1,9.0
Republic of Serbia,6,7.08
Slovakia,2,8.0
Slovenia,2,8.5
South Africa,3,8.0
South Korea,36,7.63
Spain,111,7.5
Sweden,54,7.15
Switzerland,19,7.76
Taiwan,19,7.04
Thailand,5,7.96
Turkey,1,7.5
Uganda,1,7.5
Ukraine,2,4.75
USA,1530,7.51
Uruguay,1,9.5
Venezuela,3,7.0
Vietnam,1,4.0
Zambia,1,7.0
Argentina,2,7.5
Australia,42,7.65
Austria,9,7.17
Belarus,1,5.0
Belgium,21,7.2
Brazil,23,7.95
Bulgaria,4,7.5
Canada,81,7.3
Chile,9,8.16
China,5,7.74
Colombia,1,10.0
Croatia,4,8.7
Czech Republic,5,7.4
Denmark,5,6.8
England,11,7.13
Finland,11,7.17
France,7,6.07
Germany,108,7.24
Greece,15,7.47
Hungary,14,7.71
Iceland,2,7.5
India,4,7.5
Indonesia,3,9.67
Ireland,8,7.94
Israel,5,6.78
Italy,25,7.3
Japan,23,7.3
Latvia,4,7.31
Lithuania,3,8.0
Luxembourg,1,7.0
Malaysia,2,7.5
Mexico,5,8.57
Moldova,1,6.0
Netherlands,18,7.0
New Zealand,7,7.14
Norway,4,6.5
Peru,2,9.5
Philippines,3,7.0
Poland,28,7.66
Portugal,9,7.54
Qatar,1,7.2
Romania,10,7.76
Russia,7,7.43
Saudi Arabia,2,8.0
Republic of Serbia,8,7.69
Slovakia,1,7.25
Slovenia,2,8.0
South Africa,2,8.25
South Korea,13,7.32
Spain,71,7.52
Sweden,21,6.9
Switzerland,10,7.35
Taiwan,16,8.03
Thailand,11,8.23
Ukraine,2,8.0
USA,331,7.38
Uruguay,1,9.0
Venezuela,2,5.5
Vietnam,1,6.0
Albania,1,6.0
Argentina,1,5.0
Australia,22,6.54
Austria,4,6.75
Belgium,20,7.31
Brazil,12,6.93
Brunei,1,8.0
Bulgaria,1,8.0
Canada,95,7.35
Chile,4,7.5
China,8,7.38
Colombia,2,7.23
Czech Republic,4,6.5
Denmark,5,8.1
England,1,6.8
Estonia,3,8.0
Finland,12,6.83
France,16,7.59
Germany,79,7.45
Greece,12,7.1
Guatemala,1,7.0
Hungary,3,8.67
Israel,3,7.0
Italy,15,7.25
Japan,26,6.97
Latvia,4,7.75
Luxembourg,1,8.0
Malaysia,3,5.23
Mexico,2,7.9
Netherlands,17,7.07
New Zealand,6,7.17
Norway,9,7.28
Poland,16,6.55
Portugal,6,7.49
Russia,3,7.0
Republic of Serbia,2,8.0
South Africa,2,7.0
South Korea,15,7.27
Spain,44,7.64
Sweden,10,7.19
Switzerland,2,8.75
Taiwan,9,7.5
Thailand,4,7.0
Ukraine,2,3.0
USA,609,7.35
Uruguay,1,8.0
Vietnam,1,8.0
Albania,1,6.0
Argentina,31,8.15
Australia,203,7.92
Austria,36,8.17
The Bahamas,1,8.75
Belarus,3,9.0
Belgium,99,7.84
Bolivia,2,8.25
Bosnia and Herzegovina,1,10.0
Brazil,156,8.2
Brunei,1,8.0
Bulgaria,13,8.73
Canada,622,7.93
Chile,38,8.03
China,36,8.46
Colombia,12,8.39
Costa Rica,3,8.5
Croatia,16,8.58
Czech Republic,38,7.86
Denmark,46,7.95
Ecuador,1,8.0
England,29,7.98
Estonia,17,7.99
Fiji,1,10.0
Finland,80,7.76
France,61,7.83
Germany,333,8.17
Greece,83,7.85
Guatemala,2,8.25
Hungary,47,8.14
Iceland,7,7.71
India,9,7.83
Indonesia,9,7.92
Iran,1,8.0
Iraq,1,8.0
Ireland,21,8.05
Israel,20,7.42
Italy,114,7.93
Japan,66,7.63
Kenya,1,6.5
Latvia,16,8.38
Lithuania,25,7.96
Luxembourg,3,6.67
Macedonia,2,8.5
Malaysia,12,7.58
Mexico,43,8.4
Moldova,2,9.5
Mongolia,1,6.0
Netherlands,111,7.91
New Zealand,48,7.56
Norway,43,8.0
Panama,1,8.5
Paraguay,1,8.0
Peru,13,8.65
Philippines,12,8.04
Poland,189,7.93
Portugal,55,7.76
Puerto Rico,1,8.0
Qatar,2,8.1
Romania,32,8.7
Russia,51,8.07
Saudi Arabia,1,8.0
Republic of Serbia,12,8.58
Slovakia,5,8.42
Slovenia,11,7.78
South Africa,12,8.08
South Korea,49,7.75
Spain,327,8.1
Sri Lanka,1,8.0
Sweden,135,7.86
Switzerland,25,8.24
Taiwan,43,8.36
Thailand,15,7.56
Trinidad and Tobago,1,8.0
Turkey,5,9.1
Uganda,1,9.0
Ukraine,13,8.58
USA,3444,7.97
Uruguay,2,9.0
Venezuela,4,9.25
