,Country,Number of Users,Average Rating
2069,England,5,7.12
2070,Estonia,4,7.38
2071,Finland,21,7.54
2072,France,18,7.61
2073,Germany,78,6.92
2074,Greece,14,8.24
2075,Guatemala,2,7.0
2076,Hungary,3,5.33
2077,Iceland,1,7.5
2078,Indonesia,2,8.5
2079,Ireland,8,7.97
2080,Israel,8,7.13
2081,Italy,25,7.66
2082,Japan,10,6.4
2083,Latvia,2,6.75
2084,Lebanon,1,5.0
2085,Lithuania,6,5.75
2086,Luxembourg,1,9.0
2087,Macedonia,2,8.0
2088,Malaysia,5,7.5
2089,Mexico,6,7.5
2090,Moldova,1,9.0
2091,Netherlands,16,6.91
2092,New Zealand,19,6.18
2093,Norway,10,6.7
2094,Peru,1,8.5
2095,Philippines,6,8.08
2096,Poland,9,8.11
2097,Portugal,7,7.93
2098,Romania,2,8.5
2099,Russia,5,6.65
2100,Republic of Serbia,2,6.25
2101,Slovakia,1,9.0
2102,Slovenia,2,9.0
2103,South Africa,2,7.5
2104,South Korea,5,6.0
2105,Spain,59,7.21
2106,Sri Lanka,1,8.0
2107,Sweden,24,6.98
2108,Switzerland,5,7.3
2109,Taiwan,4,7.9
2110,Thailand,4,6.88
2111,Turkey,2,9.25
2112,Ukraine,1,8.0
2113,USA,1087,7.6
2114,Uruguay,1,8.5
2115,Venezuela,3,5.5
2116,Argentina,11,8.09
2117,Australia,59,7.63
2118,Austria,4,8.0
2119,Belgium,8,7.63
2120,Brazil,48,7.95
2121,Bulgaria,4,5.75
2122,Canada,129,7.42
2123,Chile,5,6.9
2124,China,9,7.5
2125,Colombia,5,8.2
2126,Croatia,1,9.0
2127,Czech Republic,1,9.0
2128,Denmark,6,6.17
2129,England,8,6.78
2130,Estonia,2,7.6
2131,Finland,9,7.69
2132,France,6,8.17
2133,Germany,32,6.82
2134,Greece,14,6.96
2135,Hungary,2,5.5
2136,Iceland,1,8.0
2137,India,3,7.33
2138,Indonesia,4,8.38
2139,Ireland,10,7.75
2140,Israel,7,6.69
2141,Italy,10,6.88
2142,Japan,13,6.62
2143,Latvia,2,7.25
2144,Lithuania,2,7.5
2145,Luxembourg,1,8.0
2146,Macedonia,1,6.0
2147,Malaysia,3,8.33
2148,Mexico,20,8.29
2149,Moldova,1,10.0
2150,Netherlands,14,6.79
2151,New Zealand,10,7.03
2152,Norway,3,6.0
2153,Peru,1,6.0
2154,Philippines,6,7.67
2155,Poland,19,6.84
2156,Portugal,12,7.03
2157,Romania,1,10.0
2158,Russia,5,6.0
2159,Saudi Arabia,2,8.0
2160,Republic of Serbia,7,8.0
2161,Slovakia,2,7.25
2162,Slovenia,1,8.0
2163,South Africa,2,6.0
2164,South Korea,12,6.46
2165,Spain,57,6.95
2166,Sweden,19,6.97
2167,Switzerland,3,7.0
2168,Taiwan,8,7.71
2169,Thailand,9,7.63
2170,Turkey,1,8.0
2171,Uganda,1,7.0
2172,Ukraine,1,10.0
2173,USA,818,7.35
2174,Venezuela,2,5.5
2175,Vietnam,2,6.15
2176,Argentina,12,8.77
2177,Australia,41,7.88
2178,Austria,4,7.78
2179,Belarus,1,8.0
2180,Belgium,8,7.63
2181,Bolivia,1,8.0
2182,Brazil,29,8.42
2183,Bulgaria,4,8.25
2184,Canada,120,8.07
2185,Chile,2,6.0
2186,China,11,8.34
2187,Colombia,3,8.0
2188,Croatia,2,6.7
2189,Czech Republic,7,7.43
2190,Denmark,6,9.08
2191,England,7,7.07
2192,Estonia,2,6.5
2193,Finland,9,8.81
2194,France,12,8.5
2195,Germany,53,7.74
2196,Greece,14,8.41
2197,Guatemala,1,9.0
2198,Hungary,4,6.5
2199,Iceland,1,10.0
2200,Indonesia,1,8.0
2201,Iran,1,8.0
2202,Iraq,1,9.0
2203,Ireland,9,7.94
2204,Israel,4,6.89
2205,Italy,18,6.61
2206,Japan,9,7.06
2207,Latvia,3,7.0
2208,Lithuania,8,8.13
2209,Luxembourg,1,7.0
2210,Macedonia,1,10.0
2211,Malaysia,3,8.83
2212,Mexico,15,8.67
2213,Netherlands,12,7.58
2214,New Zealand,9,7.78
2215,Norway,8,7.88
2216,Philippines,5,8.3
2217,Poland,29,7.97
2218,Portugal,13,8.22
2219,Qatar,1,8.8
2220,Romania,5,9.61
2221,Russia,6,7.67
2222,Republic of Serbia,1,8.5
2223,Slovakia,1,9.0
2224,South Africa,2,8.0
2225,South Korea,12,7.78
2226,Spain,67,8.0
2227,Sweden,12,8.86
2228,Switzerland,3,6.33
2229,Taiwan,4,8.0
2230,Thailand,4,6.63
2231,Turkey,1,8.5
2232,Ukraine,4,9.5
2233,USA,640,7.86
2234,Uruguay,3,8.67
2235,Venezuela,1,9.0
2236,Argentina,8,6.94
2237,Australia,46,6.97
2238,Austria,3,7.0
2239,Belarus,1,6.0
2240,Belgium,11,7.09
2241,Brazil,22,7.07
2242,Brunei,1,8.0
2243,Canada,96,7.04
2244,Chile,9,7.41
2245,China,4,6.95
2246,Colombia,1,10.0
2247,Croatia,1,8.0
2248,Czech Republic,2,7.5
2249,Denmark,5,4.8
2250,England,7,7.36
2251,Estonia,3,6.67
2252,Finland,20,6.93
2253,France,16,7.13
2254,Germany,61,6.9
2255,Greece,14,7.29
2256,Guatemala,1,1.0
2257,Hungary,3,7.0
2258,India,1,6.0
2259,Indonesia,1,7.0
2260,Ireland,2,7.75
2261,Israel,6,7.5
2262,Italy,17,7.24
2263,Japan,28,6.68
2264,Latvia,1,9.0
2265,Malaysia,5,6.96
2266,Mexico,6,7.3
2267,Netherlands,11,7.29
2268,New Zealand,13,7.22
2269,Norway,11,7.18
2270,Philippines,2,8.0
2271,Poland,13,6.96
2272,Portugal,7,7.11
2273,Romania,2,6.75
2274,Russia,1,5.0
2275,Saudi Arabia,1,8.0
2276,Republic of Serbia,2,9.0
2277,Slovenia,3,8.33
2278,South Africa,3,6.83
2279,South Korea,13,6.86
2280,Spain,76,6.96
2281,Sweden,17,6.28
2282,Switzerland,3,6.67
2283,Taiwan,11,7.56
2284,Thailand,7,8.04
2285,Ukraine,1,9.0
2286,USA,684,7.24
2287,Uruguay,1,8.0
2288,Vietnam,1,7.5
2289,Argentina,2,8.0
2290,Australia,34,7.23
2291,Austria,6,7.17
2292,Belgium,12,7.54
2293,Brazil,18,8.14
2294,Canada,115,7.65
2295,Chile,2,8.5
2296,China,1,5.9
2297,Czech Republic,1,8.0
2298,Denmark,10,7.25
2299,England,4,6.75
2300,Finland,18,7.28
2301,France,17,7.93
2302,Germany,59,7.21
2303,Greece,10,7.85
2304,Hungary,4,8.13
2305,Iceland,1,7.0
2306,India,1,7.0
2307,Indonesia,1,7.0
2308,Ireland,5,8.05
2309,Israel,2,6.0
2310,Italy,32,7.29
2311,Japan,6,6.67
2312,Latvia,1,6.0
2313,Lithuania,1,8.0
2314,Mexico,4,8.45
2315,Moldova,1,7.0
2316,Netherlands,19,6.6
2317,New Zealand,9,6.72
2318,Norway,10,6.8
2319,Peru,2,8.5
2320,Philippines,1,5.0
2321,Poland,5,7.4
2322,Portugal,9,6.28
2323,Russia,3,6.33
2324,Republic of Serbia,2,8.0
2325,Slovenia,1,10.0
2326,South Korea,3,7.67
2327,Spain,24,7.56
2328,Sweden,25,7.38
2329,Switzerland,2,8.0
2330,Taiwan,1,9.0
2331,Turkey,1,9.0
2332,Ukraine,1,8.0
2333,USA,601,7.4
2334,Venezuela,2,6.5
2335,Argentina,26,8.23
2336,Australia,83,7.65
2337,Austria,11,8.05
2338,The Bahamas,1,10.0
2339,Belarus,3,8.33
2340,Belgium,45,7.65
2341,Bolivia,1,8.0
2342,Brazil,97,8.5
2343,Bulgaria,10,8.05
2344,Canada,187,7.71
2345,Chile,20,8.27
2346,China,27,7.79
2347,Colombia,5,8.9
2348,Costa Rica,2,9.5
2349,Croatia,10,8.2
2350,Czech Republic,18,8.12
2351,Denmark,14,7.21
2352,England,10,7.2
2353,Estonia,6,8.0
2354,Finland,28,7.46
2355,France,35,8.23
2356,Germany,111,7.12
2357,Greece,49,7.87
2358,Hungary,25,8.4
2359,Iceland,2,8.75
2360,India,4,8.13
2361,Indonesia,5,8.54
2362,Ireland,16,7.86
2363,Israel,14,7.78
2364,Italy,69,7.99
2365,Japan,37,7.32
2366,Latvia,8,8.0
2367,Lithuania,17,7.81
2368,Luxembourg,3,7.67
2369,Macedonia,2,7.0
2370,Malaysia,8,7.88
2371,Mexico,20,8.56
2372,Moldova,1,9.0
2373,Netherlands,33,7.9
2374,New Zealand,19,7.63
2375,Norway,14,7.25
2376,Peru,3,8.67
2377,Philippines,8,7.88
2378,Poland,123,7.77
2379,Portugal,25,7.86
2380,Qatar,2,7.1
2381,Romania,16,8.1
2382,Russia,22,7.91
2383,Saudi Arabia,3,7.33
2384,Republic of Serbia,10,8.3
2385,Slovakia,4,8.0
2386,Slovenia,4,8.75
2387,South Africa,4,8.33
2388,South Korea,28,7.55
2389,Spain,159,7.92
2390,Sweden,34,7.37
2391,Switzerland,9,7.44
2392,Taiwan,32,7.98
2393,Thailand,16,8.52
2394,Turkey,1,8.5
2395,Uganda,1,8.0
2396,Ukraine,12,8.54
2397,USA,1075,7.52
2398,Uruguay,4,8.75
2399,Venezuela,2,8.0
2400,Vietnam,2,7.63
2401,Argentina,21,8.62
2402,Australia,123,7.81
2403,Austria,20,8.13
2404,Belarus,2,10.0
2405,Belgium,57,8.27
2406,Bolivia,2,9.0
2407,Brazil,75,8.39
2408,Brunei,1,10.0
2409,Bulgaria,7,8.0
2410,Canada,384,8.13
2411,Chile,16,8.19
2412,China,31,8.62
2413,Colombia,5,9.1
2414,Costa Rica,1,10.0
2415,Croatia,6,8.22
2416,Czech Republic,24,8.46
2417,Denmark,29,8.05
2418,Ecuador,2,7.0
2419,England,14,7.91
2420,Estonia,7,8.29
2421,Finland,53,8.37
2422,France,38,7.98
2423,Germany,291,8.2
2424,Greece,44,8.31
2425,Guatemala,2,9.25
2426,Hungary,24,7.72
2427,Iceland,2,7.5
2428,India,5,8.0
2429,Indonesia,3,8.67
2430,Iraq,1,9.0
2431,Ireland,13,8.41
2432,Israel,15,8.59
2433,Italy,65,8.04
2434,Japan,46,8.03
2435,Latvia,9,8.69
2436,Lithuania,16,8.34
2437,Luxembourg,4,8.25
2438,Malaysia,11,7.81
2439,Mexico,18,8.25
2440,Moldova,2,9.75
2441,Netherlands,63,8.26
2442,New Zealand,29,8.01
2443,Norway,31,8.65
2444,Peru,6,7.25
2445,Philippines,3,8.17
2446,Poland,110,8.15
2447,Portugal,20,8.07
2448,Romania,19,8.8
2449,Russia,26,8.62
2450,Saudi Arabia,1,9.0
2451,Republic of Serbia,7,7.57
2452,Slovakia,4,8.15
2453,Slovenia,4,8.75
2454,South Africa,8,8.5
2455,South Korea,35,8.52
2456,Spain,189,8.01
2457,Sweden,72,8.13
2458,Switzerland,23,7.98
2459,Taiwan,39,8.38
2460,Thailand,12,8.08
2461,Trinidad and Tobago,1,7.0
2462,Uganda,1,8.0
2463,Ukraine,9,7.56
2464,USA,2646,8.3
2465,Uruguay,3,9.67
2466,Venezuela,3,9.67
2467,Vietnam,3,7.58
2468,Argentina,7,8.86
2469,Australia,50,7.9
2470,Austria,14,7.32
2471,Azerbaijan,1,6.0
2472,Belarus,2,9.5
2473,Belgium,23,8.45
2474,Bolivia,2,9.0
2475,Brazil,21,8.6
2476,Bulgaria,1,8.0
2477,Canada,162,8.1
2478,Chile,7,8.07
2479,China,20,8.81
2480,Colombia,2,7.75
2481,Croatia,2,7.35
2482,Czech Republic,14,8.16
2483,Denmark,11,7.52
2484,England,8,8.78
2485,Estonia,5,7.5
2486,Finland,23,7.94
2487,France,21,7.8
2488,Germany,122,8.15
2489,Greece,13,8.65
2490,Hungary,7,7.59
2491,India,1,5.0
2492,Indonesia,3,8.67
2493,Ireland,4,8.0
2494,Israel,7,9.07
2495,Italy,30,8.38
2496,Japan,20,7.56
2497,Latvia,7,8.27
2498,Lithuania,6,8.67
2499,Luxembourg,3,6.5
2500,Malaysia,5,8.76
2501,Mexico,6,7.58
2502,Netherlands,27,8.3
2503,New Zealand,15,7.83
2504,Norway,16,8.44
2505,Peru,1,8.0
2506,Philippines,3,6.5
2507,Poland,56,8.06
2508,Portugal,4,9.25
2509,Qatar,1,7.6
2510,Romania,8,8.93
2511,Russia,13,8.38
2512,Republic of Serbia,2,8.0
2513,Slovakia,2,7.65
2514,Slovenia,1,10.0
2515,South Africa,4,8.38
2516,South Korea,25,8.3
2517,Spain,74,8.03
2518,Sweden,28,8.09
2519,Switzerland,14,7.93
2520,Taiwan,16,8.37
2521,Thailand,7,7.56
2522,Ukraine,8,7.39
2523,USA,1090,8.29
2524,Uruguay,1,10.0
2525,Venezuela,2,8.5
2526,Vietnam,2,8.0
2527,Argentina,4,8.3
2528,Australia,26,7.75
2529,Austria,7,8.71
2530,Azerbaijan,1,9.0
2531,Belarus,2,9.25
2532,Belgium,13,8.59
2533,Brazil,35,8.58
2534,Bulgaria,2,9.0
2535,Canada,104,8.35
2536,Chile,3,8.63
2537,China,11,7.38
2538,Colombia,1,8.0
2539,Croatia,4,8.18
2540,Czech Republic,5,7.4
2541,Denmark,7,9.0
2542,Ecuador,1,8.0
2543,England,6,8.18
2544,Estonia,2,8.7
2545,Finland,34,9.01
2546,France,16,8.65
2547,Germany,74,8.35
2548,Greece,13,8.25
2549,Hungary,4,7.3
2550,Iceland,1,10.0
2551,India,2,6.0
2552,Indonesia,1,8.0
2553,Ireland,4,9.0
2554,Israel,4,8.5
2555,Italy,34,7.91
2556,Japan,6,5.83
2557,Latvia,6,8.5
2558,Lithuania,5,8.0
2559,Luxembourg,1,8.0
2560,Malaysia,2,10.0
2561,Mexico,1,7.0
2562,Netherlands,14,7.9
2563,New Zealand,7,8.29
2564,Norway,9,7.99
2565,Peru,1,9.0
2566,Philippines,1,5.0
2567,Poland,39,8.47
2568,Portugal,4,8.75
2569,Romania,3,8.5
2570,Russia,13,8.54
2571,Republic of Serbia,3,8.5
2572,Slovakia,1,9.0
2573,South Africa,4,9.25
2574,South Korea,9,7.92
2575,Spain,66,8.22
2576,Sweden,20,7.83
2577,Switzerland,6,8.3
2578,Taiwan,7,8.37
2579,Thailand,5,7.9
2580,Ukraine,8,8.88
2581,USA,600,8.1
2582,Venezuela,3,8.67
2583,Vietnam,1,10.0
2584,Argentina,11,8.74
2585,Australia,55,8.12
2586,Austria,21,9.07
2587,Belgium,51,8.25
2588,Brazil,35,8.45
2589,Bulgaria,1,7.0
2590,Canada,155,8.14
2591,Chile,9,7.91
2592,China,8,7.78
2593,Colombia,4,8.63
2594,Croatia,5,8.88
2595,Czech Republic,10,7.5
2596,Denmark,15,7.63
2597,England,8,8.38
2598,Estonia,3,9.0
2599,Finland,29,8.27
2600,France,20,8.01
2601,Germany,228,8.28
2602,Greece,21,8.17
2603,Hungary,12,7.92
2604,India,1,8.0
2605,Indonesia,3,8.67
2606,Ireland,6,8.33
2607,Israel,12,8.25
2608,Italy,55,8.23
2609,Japan,33,7.98
2610,Latvia,3,7.5
2611,Lithuania,4,8.25
2612,Luxembourg,1,7.0
2613,Malaysia,7,8.07
2614,Mexico,9,8.33
2615,Moldova,1,9.0
2616,Netherlands,55,8.05
2617,New Zealand,17,7.36
2618,Norway,19,8.59
2619,Peru,1,7.5
2620,Philippines,2,9.0
2621,Poland,41,8.07
2622,Portugal,10,8.5
2623,Qatar,1,8.0
2624,Romania,5,8.9
2625,Russia,1,7.0
2626,Saudi Arabia,1,9.0
2627,Republic of Serbia,3,8.17
2628,Slovakia,1,6.0
2629,Slovenia,3,9.17
2630,South Africa,4,9.0
2631,South Korea,28,8.2
2632,Spain,116,8.39
2633,Sweden,40,7.67
2634,Switzerland,14,7.96
2635,Taiwan,17,8.38
2636,Thailand,6,8.17
2637,Ukraine,2,7.0
2638,USA,894,8.06
2639,Venezuela,3,8.33
2640,Argentina,2,6.75
2641,Australia,18,7.44
2642,Austria,9,6.47
2643,Belarus,2,8.75
2644,Belgium,30,7.37
2645,Brazil,18,7.57
2646,Brunei,1,8.0
2647,Canada,58,6.98
2648,Chile,4,7.95
2649,China,2,6.3
2650,Colombia,1,7.5
2651,Czech Republic,7,6.43
2652,Denmark,6,6.67
2653,England,3,6.67
2654,Estonia,4,6.5
2655,Finland,13,7.23
2656,France,10,7.0
2657,Germany,107,6.9
2658,Greece,7,7.49
2659,Hungary,7,7.36
2660,India,2,8.0
2661,Indonesia,1,6.2
2662,Ireland,1,7.0
2663,Israel,3,8.0
2664,Italy,34,7.09
2665,Japan,29,7.14
2666,Lithuania,1,8.0
2667,Malaysia,1,7.5
2668,Netherlands,41,7.3
2669,New Zealand,11,6.34
2670,Norway,13,7.51
2671,Poland,8,7.38
2672,Portugal,5,6.5
2673,Romania,1,8.0
2674,Russia,4,6.5
2675,Saudi Arabia,1,8.0
2676,Republic of Serbia,2,8.25
2677,Slovakia,1,5.0
2678,Slovenia,1,9.0
2679,South Africa,2,6.5
2680,South Korea,12,6.43
2681,Spain,28,7.44
2682,Sweden,28,6.95
2683,Switzerland,4,7.25
2684,Taiwan,5,6.78
2685,Thailand,1,7.0
2686,Ukraine,2,8.75
2687,USA,475,7.06
2688,Venezuela,1,6.0
2689,Argentina,9,8.41
2690,Australia,42,7.89
2691,Austria,3,7.0
2692,Belarus,1,7.0
2693,Belgium,14,7.86
2694,Brazil,33,8.51
2695,Bulgaria,4,9.0
2696,Canada,107,8.02
2697,Chile,4,7.85
2698,China,10,8.25
2699,Colombia,4,9.0
2700,Costa Rica,1,8.0
2701,Croatia,1,6.7
2702,Czech Republic,3,6.33
2703,Denmark,5,7.24
2704,England,5,8.6
2705,Estonia,3,7.98
2706,Finland,4,7.38
2707,France,22,7.8
2708,Germany,48,7.28
2709,Greece,18,8.93
2710,Guatemala,1,9.0
2711,Hungary,9,7.09
2712,Iceland,1,9.0
2713,India,4,8.0
2714,Indonesia,1,8.5
2715,Ireland,5,9.0
2716,Israel,4,8.05
2717,Italy,23,7.37
2718,Japan,8,7.44
2719,Kenya,1,7.5
2720,Latvia,3,8.75
2721,Lebanon,1,9.0
2722,Lithuania,6,7.0
2723,Luxembourg,2,5.25
2724,Malaysia,4,8.38
2725,Mexico,8,8.49
2726,Netherlands,23,7.7
2727,New Zealand,8,7.88
2728,Norway,6,7.53
2729,Peru,2,9.5
2730,Philippines,7,8.43
2731,Poland,35,8.08
2732,Portugal,11,7.75
2733,Qatar,1,2.2
2734,Romania,7,8.85
2735,Russia,7,7.43
2736,Republic of Serbia,5,7.2
2737,Slovakia,2,9.25
2738,Slovenia,1,8.0
2739,South Africa,4,7.88
2740,South Korea,14,7.59
2741,Spain,44,8.38
2742,Sweden,22,7.5
2743,Switzerland,6,8.25
2744,Taiwan,10,8.84
2745,Thailand,3,8.33
2746,Ukraine,5,8.4
2747,USA,602,7.91
2748,Venezuela,2,9.5
2749,Vietnam,2,8.75
2750,Argentina,7,7.36
2751,Australia,33,7.41
2752,Austria,5,7.3
2753,Belgium,14,7.39
2754,Bolivia,1,9.0
2755,Brazil,21,7.97
2756,Bulgaria,1,10.0
2757,Canada,95,7.7
2758,Chile,6,7.67
2759,China,3,7.23
2760,Colombia,1,7.0
2761,Czech Republic,8,7.88
2762,Denmark,1,6.0
2763,England,3,7.25
2764,Finland,5,7.6
2765,France,5,7.6
2766,Germany,48,7.43
2767,Greece,13,7.67
2768,Guatemala,1,7.0
2769,Hungary,3,7.0
2770,India,2,8.0
2771,Indonesia,1,8.0
2772,Ireland,4,7.25
2773,Italy,13,7.12
2774,Japan,8,6.25
2775,Latvia,1,9.0
2776,Lithuania,1,9.0
2777,Luxembourg,1,8.0
2778,Malaysia,1,7.0
2779,Mexico,7,8.43
2780,Netherlands,24,7.52
2781,New Zealand,8,7.06
2782,Norway,7,6.54
2783,Philippines,2,6.5
2784,Poland,20,7.48
2785,Portugal,3,7.0
2786,Qatar,1,6.6
2787,Romania,1,9.0
2788,Russia,5,7.6
2789,Republic of Serbia,1,7.0
2790,Slovenia,1,10.0
2791,South Africa,3,7.5
2792,South Korea,7,8.29
2793,Spain,70,7.62
2794,Sweden,10,7.55
2795,Switzerland,2,6.5
2796,Taiwan,2,8.75
2797,Thailand,6,6.5
2798,Ukraine,2,6.8
2799,USA,550,7.62
2800,Uruguay,1,8.5
2801,Argentina,3,6.33
2802,Australia,30,6.02
2803,Austria,1,6.0
2804,Belarus,1,5.0
2805,Belgium,6,7.0
2806,Brazil,9,7.0
2807,Brunei,1,7.0
2808,Canada,69,6.27
2809,Chile,5,6.78
2810,China,4,6.0
2811,Colombia,1,7.0
2812,Denmark,6,4.83
2813,England,3,6.67
2814,Estonia,1,10.0
2815,Finland,17,5.16
2816,France,1,9.0
2817,Germany,41,5.58
2818,Greece,1,5.0
2819,Hungary,1,9.5
2820,India,1,6.0
2821,Indonesia,1,2.0
2822,Ireland,4,6.94
2823,Israel,7,6.79
2824,Italy,8,6.31
2825,Japan,4,4.0
2826,Malaysia,4,5.5
2827,Mexico,2,6.0
2828,Netherlands,18,6.85
2829,New Zealand,6,6.08
2830,Norway,5,5.8
2831,Philippines,2,7.0
2832,Poland,5,5.2
2833,Qatar,1,8.0
2834,Romania,2,7.25
2835,Russia,4,5.75
2836,Republic of Serbia,1,8.0
2837,Slovakia,1,7.0
2838,South Africa,1,4.0
2839,South Korea,8,6.0
2840,Spain,13,7.45
2841,Sweden,27,5.74
2842,Switzerland,3,7.0
2843,Taiwan,1,6.0
2844,Turkey,1,8.0
2845,USA,1008,6.07
2846,Argentina,1,7.0
2847,Australia,52,7.63
2848,Austria,3,6.0
2849,Belarus,1,7.0
2850,Belgium,8,7.34
2851,Brazil,29,7.72
2852,Brunei,1,7.0
2853,Canada,152,7.51
2854,Chile,5,7.1
2855,China,12,6.93
2856,Colombia,1,7.0
2857,Croatia,1,7.3
2858,Czech Republic,4,8.0
2859,Denmark,4,7.0
2860,England,8,7.31
2861,Estonia,6,6.42
2862,Finland,22,7.62
2863,France,9,7.78
2864,Germany,35,7.03
2865,Greece,22,7.7
2866,Hungary,9,7.67
2867,Iceland,1,8.0
2868,India,5,8.9
2869,Indonesia,2,7.5
2870,Ireland,4,7.75
2871,Israel,9,7.47
2872,Italy,18,7.34
2873,Japan,17,6.62
2874,Latvia,5,7.5
2875,Lithuania,4,5.75
2876,Malaysia,6,7.25
2877,Mexico,4,6.75
2878,Moldova,1,10.0
2879,Netherlands,18,7.24
2880,New Zealand,16,7.24
2881,Norway,10,7.7
2882,Philippines,3,8.67
2883,Poland,25,7.68
2884,Portugal,8,7.44
2885,Romania,1,7.0
2886,Russia,5,7.6
2887,Saudi Arabia,1,8.0
2888,Republic of Serbia,4,7.25
2889,Slovakia,1,8.0
2890,Slovenia,2,7.75
2891,South Africa,5,7.0
2892,South Korea,21,7.23
2893,Spain,51,7.26
2894,Sweden,21,7.14
2895,Switzerland,2,7.5
2896,Taiwan,18,7.48
2897,Thailand,12,7.95
2898,Turkey,2,7.75
2899,Uganda,1,8.5
2900,Ukraine,2,9.5
2901,USA,886,7.56
2902,Venezuela,1,7.0
2903,Vietnam,1,6.5
2904,Argentina,4,8.13
2905,Australia,34,7.12
2906,Austria,1,7.5
2907,Belarus,1,7.0
2908,Belgium,11,7.01
2909,Bolivia,1,8.0
2910,Brazil,18,7.55
2911,Bulgaria,1,10.0
2912,Canada,94,7.72
2913,Chile,4,7.75
2914,China,3,6.5
2915,Colombia,3,7.33
2916,Costa Rica,1,9.0
2917,Croatia,1,7.0
2918,Czech Republic,2,8.5
2919,Denmark,5,7.94
2920,England,6,6.42
2921,Finland,7,7.21
2922,France,7,7.63
2923,Germany,34,7.36
2924,Greece,3,7.83
2925,Honduras,1,7.8
2926,Hungary,5,7.8
2927,Iceland,1,7.5
2928,India,2,8.0
2929,Indonesia,1,8.0
2930,Ireland,4,7.63
2931,Israel,5,7.63
2932,Italy,8,7.0
2933,Japan,5,5.6
2934,Latvia,2,7.5
2935,Lithuania,4,7.75
2936,Malaysia,1,7.0
2937,Mexico,12,7.8
2938,Netherlands,15,7.46
2939,New Zealand,8,6.69
2940,Norway,6,7.25
2941,Peru,1,6.0
2942,Philippines,2,5.75
2943,Poland,7,8.36
2944,Portugal,4,7.23
2945,Qatar,1,8.0
2946,Romania,7,8.26
2947,Russia,2,6.13
2948,Republic of Serbia,2,7.25
2949,Slovakia,1,10.0
2950,Slovenia,3,9.0
2951,South Africa,4,8.13
2952,South Korea,8,7.25
2953,Spain,35,6.99
2954,Sri Lanka,1,7.0
2955,Sweden,10,7.65
2956,Switzerland,2,7.5
2957,Taiwan,7,8.81
2958,Thailand,4,6.88
2959,Ukraine,2,7.6
2960,USA,648,7.54
2961,Uruguay,1,7.5
2962,Vietnam,2,5.88
2963,Argentina,18,7.1
2964,Australia,67,7.11
2965,Austria,6,7.0
2966,Belarus,3,6.67
2967,Belgium,24,7.67
2968,Bolivia,1,7.0
2969,Brazil,40,7.52
2970,Bulgaria,3,7.5
2971,Canada,159,7.24
2972,Chile,15,6.79
2973,China,8,6.73
2974,Colombia,4,7.25
2975,Costa Rica,2,7.5
2976,Czech Republic,5,6.9
2977,Denmark,9,6.51
2978,England,12,6.92
2979,Estonia,3,7.67
2980,Finland,18,6.94
2981,France,15,7.23
2982,Germany,75,6.89
2983,Greece,26,7.25
2984,Hungary,6,7.0
2985,India,3,7.33
2986,Indonesia,1,6.0
2987,Ireland,9,7.17
2988,Israel,9,6.7
2989,Italy,21,6.59
2990,Japan,18,6.87
2991,Latvia,3,7.33
2992,Lithuania,1,8.0
2993,Luxembourg,2,7.0
2994,Malaysia,4,8.13
2995,Mexico,13,7.54
2996,Netherlands,31,7.26
2997,New Zealand,11,6.96
2998,Norway,8,6.81
2999,Peru,1,7.0
3000,Philippines,5,7.0
3001,Poland,35,7.21
3002,Portugal,17,7.02
3003,Qatar,1,8.0
3004,Romania,4,9.0
3005,Russia,14,6.51
3006,Republic of Serbia,2,6.0
3007,Slovakia,2,8.5
3008,Slovenia,3,8.67
3009,South Africa,5,7.6
3010,South Korea,8,7.5
3011,Spain,120,6.96
3012,Sweden,22,7.1
3013,Switzerland,6,7.08
3014,Taiwan,12,7.28
3015,Thailand,9,7.16
3016,Trinidad and Tobago,1,7.0
3017,Uganda,1,7.5
3018,Ukraine,6,7.22
3019,USA,1325,7.23
3020,Uruguay,4,7.63
3021,Venezuela,1,7.0
3022,Argentina,8,7.14
3023,Australia,29,7.06
3024,Austria,7,7.86
3025,Belgium,18,7.67
3026,Bolivia,1,10.0
3027,Brazil,25,7.82
3028,Canada,80,7.48
3029,Chile,3,6.83
3030,China,5,6.74
3031,Colombia,1,8.0
3032,Croatia,1,5.8
3033,Czech Republic,4,6.5
3034,Denmark,5,6.6
3035,England,4,7.4
3036,Estonia,5,7.24
3037,Finland,8,7.63
3038,France,8,7.43
3039,Germany,42,7.27
3040,Greece,16,7.29
3041,Hungary,2,7.0
3042,Iceland,1,7.0
3043,Indonesia,1,7.5
3044,Ireland,4,7.25
3045,Israel,1,6.0
3046,Italy,23,7.46
3047,Japan,6,7.33
3048,Latvia,1,7.0
3049,Lebanon,1,7.0
3050,Lithuania,4,7.75
3051,Macedonia,1,9.0
3052,Malaysia,5,6.3
3053,Mexico,6,8.0
3054,Netherlands,13,7.42
3055,New Zealand,8,7.14
3056,Norway,7,7.64
3057,Peru,2,7.0
3058,Philippines,3,4.67
3059,Poland,8,6.81
3060,Portugal,7,6.99
3061,Qatar,2,6.5
3062,Romania,5,7.36
3063,Russia,5,7.6
3064,Republic of Serbia,1,7.0
3065,South Africa,2,6.5
3066,South Korea,7,6.43
3067,Spain,80,7.62
3068,Sweden,16,7.24
3069,Switzerland,3,5.33
3070,Taiwan,1,6.0
3071,Thailand,3,8.67
3072,Ukraine,1,8.0
